"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"f__Coniothyriaceae",0,0,12,0,43,0,0,156,0,0,24,0,86,74,8,84,7,17,0,29,0,4,35,0,77,34,0,32,15,2,41,11,11,596,5,31,27,51,1,146,0,0,0,28,2,0,0,6,59,28,4,224,0,0,10,6,9,7,0,13,512,0,20,668,0,45,9,13,8,0,2,0,0,18,15,8,8,9,0,22,0,0,41,0,3,36,0,3,8,2,63,407,22,0,3,7,0,0,0,84,0,49,4,148,4084,13,0,126,9,1,13,0,0,125,4,6,9,0,5,65,3,1,948,0,0,38,51,22,54,27,0,14,19,4,28,0,18,26,3,43,25,865
"f__Leptosphaeriaceae",44,414,57,20,67,1,89,194,21,12,378,86,98,903,53,53,166,50,2,121,29,32,161,10,142,22,43,423,16,18,532,63,38,42,51,97,13,425,10,45,476,33,57,623,38,75,25,166,118,79,154,59,17,150,197,32,52,180,0,17,158,22,19,2510,44,286,21,90,7,0,63,22,272,186,28,112,463,31,0,11,6,89,437,120,14,53,5,50,83,16,37,38,60,0,127,49,0,13,55,72,0,252,45,18,42,27,52,162,57,47,422,58,9,428,53,110,165,38,100,50,31,11,126,78,111,531,230,94,253,3,0,112,95,101,186,56,583,468,158,317,782,41
"f__Tricholomataceae",0,494,12,11,6,0,11,526,0,0,0,23,20,12,45,22,14,13,0,841,635,42,4,4,0,3021,0,101,108,2,12,4,0,0,20,21,0,0,0,0,0,0,0,0,12,20,11,8,1766,31,0,0,0,116,6,12,7,8,0,0,16,42,3,10,126,20,8,2,32,0,6,0,82,0,24,0,279,4,0,0,13,0,0,0,12,6,7,26,51,5,61,8,5,0,17,11,0,0,0,72,0,373,26,1,23,38,0,56,7,9,37,56,4,30,19,0,301,0,9,0,8,0,5,0,0,98,8,10,0,21,0,0,46,6,11,9,84,0,0,17,583,11
"f__Thelephoraceae",0,0,47,407,0,0,0,0,46,28,0,49,0,7,94,0,2,394,0,53,4084,149,21,788,35,11,2926,0,199,0,0,20,9,447,0,0,205,0,3,119,0,211,0,0,195,0,0,11,110,405,56,1,173,0,0,160,5181,0,294,8,0,85,2,0,156,0,29,0,13,0,0,44,48,0,3693,0,0,97,0,0,28,0,0,8,0,0,0,22,0,15,28,0,966,0,11,345,0,0,0,0,0,66,167,230,0,767,0,0,10,0,0,0,4,1,77,29,10,320,121,15,626,0,4,0,7,0,197,1,0,272,0,0,1260,0,18,23,170,9,533,0,0,2
"f__Cystofilobasidiaceae",0,366,0,7,44,35,16,9,7,0,0,33,5,14,16,46,20,18,0,0,0,1,0,0,0,162,72,1,0,0,0,0,0,0,1,0,0,41,14,0,4,0,0,10,3,0,6,0,40,0,25,8,60,0,1,74,9,9,0,1,56,0,0,66,36,75,18,1,0,0,59,0,0,0,14,0,5,0,0,0,0,0,0,0,0,2,4,5,0,0,14,724,12,0,30,13,0,0,61,5,0,270,72,33,0,72,0,0,8,0,1660,0,0,11,9,0,39,8,0,159,73,6,462,0,0,35,0,88,42,0,0,62,177,13,285,79,24,13,3,4,0,0
"f__Microsporomycetaceae",0,15,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,1,0,0,0,0,5,0,65,0,0,1080,0,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,13,0,0,113,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,70,296,0,0,6,0,0,6,0,0,340,0,0,12,0,0,0,3,1,26,0,0,43,0,0,0,0
"f__Hymenogastraceae",0,0,69,0,0,0,0,1,178,0,2,6,0,19,16,0,0,84,0,0,1777,0,0,68,0,0,4305,0,22,3,0,0,0,65,6,0,35,0,1,0,3,0,0,0,0,0,2,2,0,51,0,5,0,0,0,28,206,2,500,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,20,0,4,14,0,0,1,8,0,0,4,0,0,33,0,2,0,16,2,0,5,15,40,0,8,17,0,0,76,0,0,0,0,0,5,1,2,285,0,0,38,3,0,0,11,7,18,6,0,0
"f__Discosiaceae",0,41,0,0,1908,0,0,24,0,19,325,0,0,61,0,0,129,0,0,7,0,0,6,1,0,2168,0,0,0,0,14,0,3,1,1,16,69,26,0,0,4,0,0,0,700,0,0,8,932,0,2,657,0,0,0,44,0,224,0,1,131,0,43,16,0,12,0,0,0,0,1,0,0,11,0,0,80,127,0,0,26,0,0,0,0,529,0,0,4,0,0,0,0,0,13,0,0,0,12,999,0,3,0,0,0,0,0,260,289,3,141,4,0,117,0,0,0,0,0,25,0,4,0,0,0,10,0,0,223,0,0,3,10,13,0,0,0,102,0,2,29,0
"f__Dictyosporiaceae",4,14,5,7,53,0,3,25,9,0,13,0,4,11,21,15,10,50,0,39,0,1,16,12,13,5,15,18,4,6,23,50,7,18,29,19,26,30,4,48,14,105,0,5,34,0,10,21,42,50,0,13,46,80,1,18,17,9,0,10,98,7,1,12,27,19,0,4,19,0,16,17,100,39,57,13,8,18,0,9,32,0,6,128,24,1,0,12,10,9,4629,167,51,0,21,42,0,0,12,68,71,14,21,7,0,1,27,250,34,0,37,6,2,3,0,19,25,3,18,3,38,30,5,0,20,9,61,19,28,21,0,6,19,23,14,20,72,23,46,87,34,40
"f__Russulaceae",47,0,0,6,0,0,0,0,0,0,0,5,53,0,0,0,0,23,57,0,3846,0,7,0,6,26,27,27,46,644,45,463,282,102,236,20,34,0,0,0,9,64,3,0,17,0,0,0,0,0,181,0,6,175,0,1,73,19,0,99,0,24,6,0,0,0,13,4,0,0,4,0,0,0,82,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,138,0,0,0,0,25,0,0,0,0,71,8,12,35,0,0,22,15,0,184,25,413,173,3,504,131,3,4,216,3,13,18,15,0,96,193,11
"f__Sporormiaceae",12,23,100,18,27,12,89,16,112,86,37,176,204,67,216,72,32,184,0,90,41,3,18,51,143,36,38,32,26,5,5,143,26,113,57,17,435,24,7,0,5,84,0,7,278,0,403,170,73,299,62,10,154,28,0,197,135,35,0,54,51,94,4,29,115,23,51,34,62,0,33,53,0,3,47,17,0,221,19,4,117,14,25,569,8,52,53,130,56,46,29,10,235,126,80,260,1,0,1024,58,21,7,103,20,1,87,31,8,241,33,69,1094,0,41,262,128,57,121,78,19,185,112,12,49,6,47,123,135,28,65,5,63,165,123,91,157,509,101,436,61,41,553
"f__Psathyrellaceae",64,79,530,149,89,256,162,20,130,561,240,324,136,81,60,89,110,67,55,37,41,90,210,63,216,60,69,30,175,25,143,475,105,196,99,766,2651,221,26,0,19,27,16,15,552,0,46,271,52,206,36,28,552,61,22,186,34,23,0,22,64,76,8,24,44,120,4,3,0,0,67,0,140,0,481,61,4,112,0,0,750,22,6237,318,108,12,69,351,180,168,359,34,199,0,74,301,4,6,160,59,0,44,61,91,162,113,145,30,134,12,113,130,22,53,31,88,42,176,30,30,165,21,15,0,67,147,87,59,43,104,54,74,194,140,300,444,361,149,186,59,75,15
"f__Symmetrosporaceae",0,12,0,0,16,0,9,115,0,28,242,2,4,184,0,26,66,17,0,48,2,0,5,1,0,266,10,43,0,3,90,4,69,0,24,634,0,485,0,0,173,0,8,68,0,0,5,1,6,0,3,24,0,0,13,9,1,24,0,1,27,9,0,8,0,134,0,2,0,0,1,0,0,0,0,0,15,0,0,9,2,0,30,2,32,116,0,7,1,0,80,143,0,0,23,2,0,26,2,73,28,845,2,0,0,0,19,347,0,4,107,0,0,9,1,7,12,1,5,24,1,0,225,0,0,63,17,3,140,0,0,13,0,10,28,0,19,57,3,3,311,4
"f__Mrakiaceae",3,211,0,5,72,0,0,14,0,0,58,0,0,205,0,2,47,53,0,105,7,0,0,0,0,507,8,98,0,1,5,23,10,32,6,141,84,412,0,0,0,0,0,40,14,0,0,0,48,2,0,7,32,0,3,42,6,53,0,0,15,97,0,43,7,278,0,4,22,0,22,0,10,0,5,0,0,9,0,0,0,0,6,11,2,0,9,3,1,0,0,564,0,0,2,19,0,0,34,5,15,50,1,0,0,5,0,5,0,0,754,9,0,3,2,24,585,25,0,52,203,0,84,0,0,25,29,13,12,0,0,97,123,5,141,20,90,288,64,4,7,11
